pe_02x,pe_02y,pe_02z,pe_3x,pe_3y,pe_3z,he_02x,he_02y,he_02z,he_3x,he_3y,he_3z,max_x,max_y,max_z,min_x,min_y,min_z,pianch_x,pianch_y,pianch_z,average_x,average_y,average_z,std_x,std_y,std_z,eng_x,eng_y,eng_z,class
0,1,0,0,0,0,0,0.0625,0,0,0,0,0.0312915,0.2875545,0.035926,-0.030147,-0.2880795,-0.037158,0.0614385,0.575634,0.073084,-0.001861589,0.014885862,-0.0063885,0.01240343,0.12744576,0.01792826,0.040274979,4.215008311,0.092773089,S
0,1,0,0,0,0,0,0.0625,0,0,0,0,0.0297745,0.2875545,0.035926,-0.053696,-0.252494,-0.0482715,0.0834705,0.5400485,0.0841975,-0.008759642,0.034593399,-0.013041521,0.017547181,0.117383907,0.018133825,0.098543261,3.834972018,0.127892807,S
0,1,0,0,0,0,0,0.04296875,0,0,0,0,0.0297745,0.2540735,0.0164905,-0.053696,-0.166993,-0.0541355,0.0834705,0.4210665,0.070626,-0.011576173,0.026016074,-0.016206484,0.01865863,0.104415006,0.015622824,0.123564986,2.964985201,0.129983675,S
0,4,0,0,0,0,0,0.1171875,0,0,0,0,0.0243535,0.2540735,0.0164905,-0.0432495,-0.1880865,-0.0541355,0.067603,0.44216,0.070626,-0.009156798,0.023662947,-0.016838362,0.017871685,0.127256384,0.015830442,0.103314332,4.289615233,0.137021664,S
0,5,0,0,0,0,0,0.08203125,0,0,0,0,0.0336555,0.2351625,0.0175565,-0.0486625,-0.1880865,-0.051778,0.082318,0.423249,0.0693345,-0.008561401,0.021894086,-0.015117636,0.022247903,0.121961129,0.014091371,0.145549594,3.93106954,0.109568619,S
0,3,0,0,0,0,0,0.03515625,0,0,0,0,0.0474245,0.221881,0.039661,-0.0532355,-0.2558305,-0.047278,0.10066,0.4777115,0.086939,-0.006672319,0.02089535,-0.010848006,0.027489184,0.132934604,0.019397818,0.204889339,4.636142108,0.12657005,S
0,2,0,0,0,0,0,0.078125,0,0,0,0,0.0565655,0.2512225,0.039661,-0.0705475,-0.2558305,-0.075335,0.127113,0.507053,0.114996,-0.009454395,0.012081842,-0.012536381,0.0298317,0.142162769,0.025544434,0.250794251,5.211339258,0.207434972,S
0,3,0,0,0,0,0,0.1484375,0,0,0,0,0.0565655,0.2895455,0.0198005,-0.0705475,-0.224231,-0.075335,0.127113,0.5137765,0.0951355,-0.01128158,0.025780424,-0.017231732,0.028455425,0.126863218,0.022947646,0.239995502,4.29094463,0.211119858,S
0,3,0,0,0,0,0,0.11328125,0,0,0,0,0.054408,0.2895455,0.0376245,-0.0430035,-0.252147,-0.060533,0.0974115,0.5416925,0.0981575,-0.008103041,0.020167107,-0.015746636,0.026052905,0.139481578,0.022140047,0.190635422,5.08503335,0.189211345,S
0,1,0,0,0,0,0,0.015625,0,0,0,0,0.054049,0.211701,0.0376245,-0.0443755,-0.252147,-0.05861,0.0984245,0.463848,0.0962345,-0.007819027,0.00541706,-0.013537267,0.024020166,0.111110346,0.021087404,0.163416157,3.167991825,0.160934927,S
0,0,0,0,0,0,0,0,0,0,0,0,0.054049,0.1995845,0.0204865,-0.0571385,-0.193432,-0.054528,0.1111875,0.3930165,0.0750145,-0.009805358,0.018204837,-0.014520056,0.026131815,0.091375864,0.016654244,0.199524451,2.222658365,0.125188979,S
3,4,0,0,0,0,0.0390625,0.07421875,0,0,0,0,0.2123605,0.2705975,0.130361,-0.233199,-0.2632675,-0.1629525,0.4455595,0.533865,0.2933135,0.008699595,0.010854086,-0.008630158,0.111428676,0.131718549,0.070434729,3.198036099,4.47182019,1.289170323,S
5,6,0,0,0,0,0.09375,0.15234375,0,0,0,0,0.2678805,0.282928,0.130361,-0.2470275,-0.2565615,-0.159456,0.514908,0.5394895,0.289817,0.009034632,0.023612107,-0.001840029,0.150829245,0.151014538,0.078360337,5.844839585,5.981465647,1.57279779,S
3,3,0,0,0,0,0.10546875,0.12890625,0,0,0,0,0.2678805,0.282928,0.128384,-0.2912565,-0.217081,-0.15154,0.559137,0.500009,0.279924,-0.015727335,0.012445004,-0.016137434,0.162684325,0.144302987,0.07641303,6.838913223,5.370581795,1.561698597,S
1,1,0,0,0,0,0.05078125,0.05078125,0,0,0,0,0.241428,0.256817,0.108764,-0.2912565,-0.217081,-0.15154,0.5326845,0.473898,0.260304,-0.020734049,0.004733864,-0.020623946,0.138492306,0.120875092,0.065826648,5.020594932,3.746120949,1.218599993,S
1,1,0,0,0,0,0.04296875,0.05859375,0,0,0,0,0.2647785,0.281869,0.1148955,-0.25854,-0.2008885,-0.1530305,0.5233185,0.4827575,0.267926,-0.001659623,0.024134658,-0.012612214,0.12827147,0.112639877,0.062013838,4.212821813,3.39775974,1.02538379,S
1,1,0,0,0,0,0.04296875,0.05859375,0,0,0,0,0.2647785,0.281869,0.1148955,-0.2740385,-0.226037,-0.1530305,0.538817,0.507906,0.267926,-0.011375971,0.013279712,-0.020644018,0.142501807,0.125992143,0.067861058,5.231790876,4.109071297,1.288438633,S
0,0,0,0,0,0,0,0,0,0,0,0,0.1893105,0.188932,0.0628625,-0.2740385,-0.226037,-0.152985,0.463349,0.414969,0.2158475,-0.020349866,0.007554527,-0.021749582,0.1055572,0.093558842,0.046426562,2.958862649,2.255500976,0.673361355,S
0,0,0,0,0,0,0,0,0,0,0,0,0.1373915,0.145748,0.0356795,-0.121587,-0.070967,-0.05022,0.2589785,0.216715,0.0858995,-0.000983156,0.028583428,-0.009609304,0.069646302,0.053998188,0.022285127,1.242003912,0.956418068,0.150867531,S
0,0,0,0,0,0,0,0,0,0,0,0,0.1373915,0.145748,0.0356795,-0.1981595,-0.1310475,-0.108877,0.335551,0.2767955,0.1445565,-0.012365232,0.016950977,-0.018460451,0.082950442,0.062761127,0.032720781,1.800773632,1.082218784,0.361668853,S
0,0,0,0,0,0,0,0,0,0,0,0,0.146054,0.1694375,0.0612335,-0.2417145,-0.1573275,-0.120554,0.3877685,0.326765,0.1817875,-0.008323541,0.023044339,-0.014218617,0.102731782,0.085299377,0.048536925,2.719582952,1.999129518,0.655050722,S
